CATEGORIE,DATE,QUART,PDQ,X,Y,LONGITUDE,LATITUDE
Méfait,2017-11-12,soir,13.0,293918.875,5032051.5,-73.639057,45.428313
Méfait,2017-06-05,soir,13.0,293918.875,5032051.5,-73.639057,45.428313
Introduction,2016-08-27,nuit,38.0,298079.742,5043013.925,-73.586033,45.52701
Méfait,2016-10-05,jour,13.0,293918.875,5032051.5,-73.639057,45.428313
Méfait,2016-11-21,jour,13.0,293918.875,5032051.5,-73.639057,45.428313
Méfait,2017-03-17,soir,13.0,293918.875,5032051.5,-73.639057,45.428313
Méfait,2017-01-25,nuit,13.0,293918.875,5032051.5,-73.639057,45.428313
Vol dans / sur véhicule à moteur,2016-07-04,soir,48.0,301140.96,5047698.514,-73.546878,45.569187
Vol dans / sur véhicule à moteur,2017-04-25,jour,48.0,301140.96,5047698.514,-73.546878,45.569187
Vol dans / sur véhicule à moteur,2016-02-20,jour,48.0,301140.96,5047698.514,-73.546878,45.569187
Vol dans / sur véhicule à moteur,2017-09-30,jour,48.0,301233.219,5047642.213,-73.545696,45.56868
Vol dans / sur véhicule à moteur,2017-06-08,soir,44.0,300769.016,5047874.633,-73.551645,45.570769
Vol de véhicule à moteur,2017-09-07,jour,45.0,297524.9529,5053660.69,-73.593294,45.622808
Vol de véhicule à moteur,2016-08-05,nuit,45.0,297524.9529,5053660.69,-73.593294,45.622808
Vol de véhicule à moteur,2015-07-16,nuit,45.0,297524.9529,5053660.69,-73.593294,45.622808
Vol de véhicule à moteur,2016-06-01,jour,46.0,298921.815,5051005.265,-73.575349,45.598927
Vol de véhicule à moteur,2016-06-26,jour,46.0,298921.815,5051005.265,-73.575349,45.598927
Méfait,2015-05-08,soir,46.0,298921.815,5051005.265,-73.575349,45.598927
Méfait,2015-05-17,nuit,46.0,298921.815,5051005.265,-73.575349,45.598927
Méfait,2016-12-14,jour,38.0,297430.398,5042121.123,-73.594332,45.51897
Vol dans / sur véhicule à moteur,2018-05-27,nuit,31.0,295477.108,5043740.073,-73.619365,45.533514
Introduction,2015-05-01,soir,38.0,297585.457,5042362.997,-73.592351,45.521148
Introduction,2015-08-01,soir,38.0,297585.457,5042362.997,-73.592351,45.521148
Vol dans / sur véhicule à moteur,2015-01-10,soir,23.0,301172.346,5045459.255,-73.546459,45.549037
Vol dans / sur véhicule à moteur,2018-05-27,nuit,31.0,295477.108,5043740.073,-73.619365,45.533514
Introduction,2018-10-22,jour,31.0,295477.108,5043740.073,-73.619365,45.533514
Vol dans / sur véhicule à moteur,2017-09-17,jour,23.0,301172.346,5045459.255,-73.546459,45.549037
Vol dans / sur véhicule à moteur,2018-12-23,jour,31.0,295477.108,5043740.073,-73.619365,45.533514
Vol de véhicule à moteur,2015-11-19,soir,23.0,301172.346,5045459.255,-73.546459,45.549037
Vol de véhicule à moteur,2016-03-01,jour,23.0,301172.346,5045459.255,-73.546459,45.549037
Introduction,2017-06-14,soir,23.0,301172.346,5045459.255,-73.546459,45.549037
Méfait,2016-10-30,jour,23.0,301172.346,5045459.255,-73.546459,45.549037
Vol dans / sur véhicule à moteur,2017-02-27,soir,23.0,301172.346,5045459.255,-73.546459,45.549037
Vol dans / sur véhicule à moteur,2015-07-26,soir,23.0,301172.346,5045459.255,-73.546459,45.549037
Méfait,2016-05-06,jour,49.0,304684.062,5054365.561,-73.501487,45.629188
Méfait,2016-02-26,jour,7.0,288634.4774,5041636.264,-73.706905,45.514459
Vol de véhicule à moteur,2017-08-24,jour,42.0,297234.988,5049732.772,-73.596951,45.58746
Introduction,2017-10-24,soir,42.0,297234.988,5049732.772,-73.596951,45.58746
Vol dans / sur véhicule à moteur,2018-02-21,soir,31.0,295477.108,5043740.073,-73.619365,45.533514
Introduction,2018-11-28,soir,39.0,295359.75,5053243.0,-73.621051,45.619023
Vol de véhicule à moteur,2015-08-04,jour,45.0,298607.701,5054787.098,-73.579423,45.632954
Vol de véhicule à moteur,2015-12-16,jour,45.0,298607.701,5054787.098,-73.579423,45.632954
Introduction,2015-02-03,soir,15.0,298131.061,5035114.196,-73.585268,45.455926
Méfait,2015-10-23,soir,15.0,298131.061,5035114.196,-73.585268,45.455926
Méfait,2018-06-23,soir,39.0,295359.75,5053243.0,-73.621051,45.619023
Introduction,2016-06-12,jour,20.0,298984.698,5039406.971,-73.574405,45.494562
Vol dans / sur véhicule à moteur,2017-09-24,jour,48.0,301140.96,5047698.514,-73.546878,45.569187
Méfait,2015-12-26,jour,42.0,297829.43,5047660.465,-73.589303,45.568819
Introduction,2015-09-22,jour,42.0,297829.43,5047660.465,-73.589303,45.568819
Vol dans / sur véhicule à moteur,2015-12-18,jour,42.0,297829.43,5047660.465,-73.589303,45.568819
Vols qualifiés,2015-12-03,soir,42.0,297829.43,5047660.465,-73.589303,45.568819
Vols qualifiés,2015-11-29,jour,42.0,297829.43,5047660.465,-73.589303,45.568819
Vol dans / sur véhicule à moteur,2015-12-02,jour,42.0,297829.43,5047660.465,-73.589303,45.568819
Méfait,2016-08-30,jour,50.0,298613.236,5038123.506,-73.579141,45.483009
Méfait,2017-09-29,jour,50.0,298613.236,5038123.506,-73.579141,45.483009
Vols qualifiés,2017-04-30,jour,50.0,298613.236,5038123.506,-73.579141,45.483009
Vols qualifiés,2016-12-27,nuit,50.0,298613.236,5038123.506,-73.579141,45.483009
Méfait,2017-01-14,nuit,50.0,298613.236,5038123.506,-73.579141,45.483009
Méfait,2017-03-27,soir,50.0,298613.236,5038123.506,-73.579141,45.483009
Méfait,2016-02-04,nuit,50.0,298613.236,5038123.506,-73.579141,45.483009
Vols qualifiés,2016-05-15,soir,50.0,298613.236,5038123.506,-73.579141,45.483009
Méfait,2017-02-27,nuit,50.0,298613.236,5038123.506,-73.579141,45.483009
Méfait,2015-08-30,soir,50.0,298613.236,5038123.506,-73.579141,45.483009
Méfait,2015-07-21,jour,50.0,298613.236,5038123.506,-73.579141,45.483009
Méfait,2015-09-18,soir,50.0,298613.236,5038123.506,-73.579141,45.483009
Méfait,2015-09-18,soir,50.0,298613.236,5038123.506,-73.579141,45.483009
Méfait,2015-10-21,jour,50.0,298613.236,5038123.506,-73.579141,45.483009
Méfait,2015-04-03,jour,50.0,298613.236,5038123.506,-73.579141,45.483009
Méfait,2015-05-25,jour,50.0,298613.236,5038123.506,-73.579141,45.483009
Méfait,2015-04-05,soir,50.0,298613.236,5038123.506,-73.579141,45.483009
Méfait,2015-04-05,soir,50.0,298613.236,5038123.506,-73.579141,45.483009
Vols qualifiés,2015-04-06,soir,50.0,298613.236,5038123.506,-73.579141,45.483009
Méfait,2015-06-01,jour,11.0,294302.672,5034936.449,-73.634214,45.454279
Méfait,2015-07-24,nuit,11.0,294302.672,5034936.449,-73.634214,45.454279
Méfait,2017-04-01,nuit,11.0,294302.672,5034936.449,-73.634214,45.454279
Introduction,2017-06-12,soir,11.0,294302.672,5034936.449,-73.634214,45.454279
Méfait,2015-10-13,soir,11.0,294302.672,5034936.449,-73.634214,45.454279
Vols qualifiés,2016-02-22,soir,11.0,294302.672,5034936.449,-73.634214,45.454279
Introduction,2016-06-17,soir,11.0,294302.672,5034936.449,-73.634214,45.454279
Introduction,2016-06-17,soir,11.0,294302.672,5034936.449,-73.634214,45.454279
Vol dans / sur véhicule à moteur,2017-07-14,jour,45.0,300292.669,5056499.074,-73.557827,45.648371
Vol dans / sur véhicule à moteur,2017-10-12,soir,45.0,300292.669,5056499.074,-73.557827,45.648371
Vol dans / sur véhicule à moteur,2015-05-15,jour,45.0,300292.669,5056499.074,-73.557827,45.648371
Introduction,2017-10-19,jour,15.0,297740.81,5035645.45,-73.590266,45.460702
Méfait,2017-10-27,soir,15.0,297740.81,5035645.45,-73.590266,45.460702
Méfait,2016-11-04,soir,15.0,297740.81,5035645.45,-73.590266,45.460702
Vol dans / sur véhicule à moteur,2017-06-24,jour,15.0,297740.81,5035645.45,-73.590266,45.460702
Vol de véhicule à moteur,2015-10-17,soir,15.0,297740.81,5035645.45,-73.590266,45.460702
Introduction,2015-10-17,soir,15.0,297740.81,5035645.45,-73.590266,45.460702
Introduction,2015-10-17,soir,15.0,297740.81,5035645.45,-73.590266,45.460702
Introduction,2016-01-17,soir,15.0,297765.378,5035987.149,-73.589956,45.463777
Méfait,2015-04-19,jour,42.0,297829.43,5047660.465,-73.589303,45.568819
Introduction,2015-05-11,nuit,27.0,292180.207,5044926.778,-73.661607,45.544141
Méfait,2015-03-24,jour,23.0,301846.155,5044965.814,-73.537827,45.5446
Méfait,2015-01-09,jour,23.0,301846.155,5044965.814,-73.537827,45.5446
Introduction,2017-12-31,soir,23.0,301846.155,5044965.814,-73.537827,45.5446
Vol dans / sur véhicule à moteur,2017-09-10,soir,23.0,301846.155,5044965.814,-73.537827,45.5446
Vol dans / sur véhicule à moteur,2017-11-04,jour,23.0,301846.155,5044965.814,-73.537827,45.5446
Méfait,2017-07-18,jour,23.0,301846.155,5044965.814,-73.537827,45.5446
Vol dans / sur véhicule à moteur,2017-09-07,jour,23.0,301846.155,5044965.814,-73.537827,45.5446
Introduction,2017-05-28,jour,23.0,301846.155,5044965.814,-73.537827,45.5446
Vol dans / sur véhicule à moteur,2016-05-02,jour,23.0,301846.155,5044965.814,-73.537827,45.5446
Vol dans / sur véhicule à moteur,2016-11-06,jour,23.0,301846.155,5044965.814,-73.537827,45.5446
Vol dans / sur véhicule à moteur,2017-03-30,nuit,23.0,301846.155,5044965.814,-73.537827,45.5446
Vol dans / sur véhicule à moteur,2016-09-18,jour,23.0,301846.155,5044965.814,-73.537827,45.5446
Introduction,2017-03-22,soir,23.0,301846.155,5044965.814,-73.537827,45.5446
Introduction,2017-05-01,jour,23.0,301846.155,5044965.814,-73.537827,45.5446
Introduction,2016-03-24,jour,23.0,301846.155,5044965.814,-73.537827,45.5446
Introduction,2017-02-27,nuit,23.0,301846.155,5044965.814,-73.537827,45.5446
Vol dans / sur véhicule à moteur,2015-10-23,nuit,23.0,301846.155,5044965.814,-73.537827,45.5446
Introduction,2015-07-07,soir,23.0,301846.155,5044965.814,-73.537827,45.5446
Méfait,2015-06-28,soir,23.0,301846.155,5044965.814,-73.537827,45.5446
Introduction,2015-07-14,jour,27.0,291642.024,5044410.908,-73.668486,45.539489
Vol dans / sur véhicule à moteur,2015-05-07,soir,27.0,291642.024,5044410.908,-73.668486,45.539489
Vol dans / sur véhicule à moteur,2015-11-03,soir,27.0,291642.024,5044410.908,-73.668486,45.539489
Introduction,2016-10-06,soir,27.0,291642.024,5044410.908,-73.668486,45.539489
Vol dans / sur véhicule à moteur,2017-09-29,nuit,8.0,289735.857,5033569.193,-73.692561,45.441892
Méfait,2016-04-27,soir,8.0,289735.857,5033569.193,-73.692561,45.441892
Introduction,2016-08-12,jour,8.0,289735.857,5033569.193,-73.692561,45.441892
Vol de véhicule à moteur,2015-05-23,jour,8.0,289735.857,5033569.193,-73.692561,45.441892
Méfait,2015-12-21,soir,42.0,299127.168,5050538.115,-73.572711,45.594725
Vol dans / sur véhicule à moteur,2015-10-14,soir,42.0,299127.168,5050538.115,-73.572711,45.594725
Vol de véhicule à moteur,2015-12-18,jour,42.0,299127.168,5050538.115,-73.572711,45.594725
Vol dans / sur véhicule à moteur,2015-08-16,jour,42.0,299127.168,5050538.115,-73.572711,45.594725
Vol dans / sur véhicule à moteur,2015-07-17,jour,42.0,299127.168,5050538.115,-73.572711,45.594725
Méfait,2015-11-28,jour,42.0,299127.168,5050538.115,-73.572711,45.594725
Vol dans / sur véhicule à moteur,2015-05-26,nuit,42.0,299127.168,5050538.115,-73.572711,45.594725
Vol dans / sur véhicule à moteur,2015-06-11,jour,42.0,299127.168,5050538.115,-73.572711,45.594725
Vol dans / sur véhicule à moteur,2015-06-14,soir,42.0,299127.168,5050538.115,-73.572711,45.594725
Méfait,2015-05-13,jour,42.0,299127.168,5050538.115,-73.572711,45.594725
Introduction,2015-01-05,nuit,23.0,301846.155,5044965.814,-73.537827,45.5446
Introduction,2015-04-20,jour,13.0,293918.875,5032051.5,-73.639057,45.428313
Introduction,2015-06-30,jour,13.0,293918.875,5032051.5,-73.639057,45.428313
Vol dans / sur véhicule à moteur,2015-03-04,soir,13.0,293918.875,5032051.5,-73.639057,45.428313
Introduction,2015-05-14,jour,13.0,293918.875,5032051.5,-73.639057,45.428313
Introduction,2017-07-25,soir,30.0,297116.495,5047945.449,-73.598442,45.571376
Vol dans / sur véhicule à moteur,2016-02-02,jour,21.0,301315.848,5039792.506,-73.544581,45.498046
Vol dans / sur véhicule à moteur,2016-06-30,jour,21.0,301315.848,5039792.506,-73.544581,45.498046
Vol dans / sur véhicule à moteur,2015-11-05,jour,21.0,301315.848,5039792.506,-73.544581,45.498046
Vol dans / sur véhicule à moteur,2017-04-10,jour,21.0,301315.848,5039792.506,-73.544581,45.498046
Vol dans / sur véhicule à moteur,2016-08-12,jour,21.0,301315.848,5039792.506,-73.544581,45.498046
Introduction,2015-09-26,jour,21.0,301315.848,5039792.506,-73.544581,45.498046
Vol dans / sur véhicule à moteur,2016-10-09,jour,21.0,301315.848,5039792.506,-73.544581,45.498046
Méfait,2015-06-16,soir,21.0,301331.126,5038938.761,-73.54438,45.490364
Vol dans / sur véhicule à moteur,2015-09-06,soir,21.0,301331.126,5038938.761,-73.54438,45.490364
Vol dans / sur véhicule à moteur,2016-10-10,jour,21.0,301331.126,5038938.761,-73.54438,45.490364
Introduction,2015-03-11,soir,48.0,301225.094,5049393.105,-73.545813,45.584436
Méfait,2017-11-12,soir,38.0,297331.948,5042533.351,-73.595599,45.522678
Méfait,2017-06-23,soir,38.0,297331.948,5042533.351,-73.595599,45.522678
Vol dans / sur véhicule à moteur,2015-07-13,jour,10.0,291841.6723,5044220.016,-73.665924,45.537775
Vol dans / sur véhicule à moteur,2016-04-27,jour,10.0,291841.6723,5044220.016,-73.665924,45.537775
Méfait,2018-05-25,soir,33.0,295242.821,5042722.568,-73.622345,45.524355
Vol de véhicule à moteur,2018-07-06,jour,10.0,290045.405,5044232.975,-73.688924,45.537856
Introduction,2017-07-02,nuit,49.0,304619.998,5056851.379,-73.502309,45.651556
Vol de véhicule à moteur,2016-11-06,jour,49.0,304619.998,5056851.379,-73.502309,45.651556
Vol de véhicule à moteur,2018-06-11,jour,15.0,299737.911,5038418.192,-73.564757,45.48567
Introduction,2018-10-12,soir,7.0,289914.247,5040119.373,-73.690479,45.500837
Vol dans / sur véhicule à moteur,2017-12-30,jour,11.0,294234.108,5036809.012,-73.635131,45.471128
Méfait,2017-06-12,jour,11.0,294234.108,5036809.012,-73.635131,45.471128
Méfait,2017-06-12,jour,11.0,294234.108,5036809.012,-73.635131,45.471128
Méfait,2017-07-07,jour,11.0,294234.108,5036809.012,-73.635131,45.471128
Vol dans / sur véhicule à moteur,2018-07-11,jour,10.0,291678.705,5044290.036,-73.668013,45.538402
Méfait,2018-10-16,soir,48.0,301954.307,5048719.602,-73.536464,45.578379
Méfait,2016-11-17,soir,11.0,294234.108,5036809.012,-73.635131,45.471128
Méfait,2017-08-07,nuit,11.0,294234.108,5036809.012,-73.635131,45.471128
Vol de véhicule à moteur,2018-03-18,jour,7.0,291945.472,5043085.645,-73.664565,45.527569
Méfait,2017-08-10,jour,11.0,294234.108,5036809.012,-73.635131,45.471128
Vol dans / sur véhicule à moteur,2016-06-06,soir,11.0,294234.108,5036809.012,-73.635131,45.471128
Vol dans / sur véhicule à moteur,2016-06-08,jour,11.0,294234.108,5036809.012,-73.635131,45.471128
Vol dans / sur véhicule à moteur,2016-12-04,nuit,11.0,294234.108,5036809.012,-73.635131,45.471128
Vol dans / sur véhicule à moteur,2016-04-26,jour,11.0,294234.108,5036809.012,-73.635131,45.471128
Vols qualifiés,2015-09-27,soir,11.0,294234.108,5036809.012,-73.635131,45.471128
Vol dans / sur véhicule à moteur,2016-08-25,jour,11.0,294234.108,5036809.012,-73.635131,45.471128
Méfait,2016-09-16,jour,11.0,294234.108,5036809.012,-73.635131,45.471128
Méfait,2017-04-24,jour,13.0,293918.875,5032051.5,-73.639057,45.428313
Vol de véhicule à moteur,2018-07-28,jour,7.0,291945.472,5043085.645,-73.664565,45.527569
Vol dans / sur véhicule à moteur,2017-05-17,soir,20.0,298984.698,5039406.971,-73.574405,45.494562
Vols qualifiés,2016-05-29,jour,20.0,298984.698,5039406.971,-73.574405,45.494562
Méfait,2016-06-16,jour,20.0,298984.698,5039406.971,-73.574405,45.494562
Vol dans / sur véhicule à moteur,2016-03-21,jour,20.0,298984.698,5039406.971,-73.574405,45.494562
Vol dans / sur véhicule à moteur,2015-06-15,jour,20.0,298984.698,5039406.971,-73.574405,45.494562
Vol de véhicule à moteur,2018-06-19,jour,27.0,293419.005,5044590.055,-73.645736,45.541132
Introduction,2017-01-12,jour,20.0,299586.343,5040285.574,-73.566716,45.502472
Introduction,2017-01-05,jour,20.0,299586.343,5040285.574,-73.566716,45.502472
Introduction,2017-01-11,jour,20.0,299586.343,5040285.574,-73.566716,45.502472
Vol dans / sur véhicule à moteur,2018-02-21,nuit,35.0,296169.058,5043288.254,-73.610498,45.529458
Vol dans / sur véhicule à moteur,2017-11-03,soir,21.0,299904.674,5040871.437,-73.562649,45.507746
Vol dans / sur véhicule à moteur,2018-10-15,nuit,8.0,289508.813,5032796.0,-73.695439,45.43493
Vol dans / sur véhicule à moteur,2018-11-05,jour,8.0,289508.813,5032796.0,-73.695439,45.43493
Introduction,2018-08-26,jour,7.0,289962.719,5039903.5,-73.689852,45.498896
Introduction,2016-07-29,soir,21.0,299904.674,5040871.437,-73.562649,45.507746
Vol dans / sur véhicule à moteur,2016-07-05,soir,21.0,299904.674,5040871.437,-73.562649,45.507746
Vol dans / sur véhicule à moteur,2016-02-28,soir,21.0,299904.674,5040871.437,-73.562649,45.507746
Méfait,2017-06-16,soir,21.0,299904.674,5040871.437,-73.562649,45.507746
Vols qualifiés,2016-10-10,jour,21.0,299904.674,5040871.437,-73.562649,45.507746
Introduction,2018-03-30,soir,23.0,302303.696,5046363.616,-73.531975,45.55718
Vol dans / sur véhicule à moteur,2016-09-23,soir,21.0,299904.674,5040871.437,-73.562649,45.507746
Vol dans / sur véhicule à moteur,2017-03-22,jour,21.0,299904.674,5040871.437,-73.562649,45.507746
Méfait,2016-12-30,jour,21.0,299904.674,5040871.437,-73.562649,45.507746
Vol dans / sur véhicule à moteur,2015-08-21,jour,21.0,299904.674,5040871.437,-73.562649,45.507746
Vol dans / sur véhicule à moteur,2015-07-29,soir,21.0,299904.674,5040871.437,-73.562649,45.507746
Vol dans / sur véhicule à moteur,2015-02-27,jour,21.0,299904.674,5040871.437,-73.562649,45.507746
Vols qualifiés,2015-03-16,jour,21.0,299904.674,5040871.437,-73.562649,45.507746
Vol de véhicule à moteur,2015-02-12,soir,21.0,299904.674,5040871.437,-73.562649,45.507746
Introduction,2018-03-30,soir,23.0,302303.696,5046363.616,-73.531975,45.55718
Méfait,2016-07-04,jour,44.0,299999.2321,5045137.27,-73.56148,45.546133
Vol dans / sur véhicule à moteur,2016-09-05,jour,44.0,299999.2321,5045137.27,-73.56148,45.546133
Introduction,2018-11-20,soir,35.0,296081.912,5043154.074,-73.611611,45.528249
Vol dans / sur véhicule à moteur,2018-11-09,jour,35.0,295706.509,5043593.074,-73.616425,45.532195
Méfait,2015-10-08,soir,24.0,297116.296,5042179.214,-73.598354,45.519489
Introduction,2017-06-13,jour,12.0,298879.978,5039228.415,-73.575742,45.492954
Vol de véhicule à moteur,2016-11-17,jour,12.0,298879.978,5039228.415,-73.575742,45.492954
Vol dans / sur véhicule à moteur,2016-11-19,jour,12.0,298879.978,5039228.415,-73.575742,45.492954
Méfait,2018-04-30,jour,35.0,295706.509,5043593.074,-73.616425,45.532195
Méfait,2016-08-08,jour,12.0,298879.978,5039228.415,-73.575742,45.492954
Vols qualifiés,2016-12-24,nuit,12.0,298879.978,5039228.415,-73.575742,45.492954
Vol dans / sur véhicule à moteur,2017-04-06,soir,12.0,298879.978,5039228.415,-73.575742,45.492954
Vol dans / sur véhicule à moteur,2017-02-23,nuit,12.0,298879.978,5039228.415,-73.575742,45.492954
Méfait,2017-06-03,jour,7.0,291131.461,5043002.7,-73.674984,45.526808
Méfait,2016-10-09,soir,7.0,291131.461,5043002.7,-73.674984,45.526808
Introduction,2016-09-25,soir,7.0,291131.461,5043002.7,-73.674984,45.526808
Méfait,2016-08-24,jour,7.0,291131.461,5043002.7,-73.674984,45.526808
Introduction,2015-03-21,jour,11.0,292849.886,5035730.307,-73.652808,45.461399
Vol dans / sur véhicule à moteur,2017-11-10,jour,11.0,292849.886,5035730.307,-73.652808,45.461399
Vol dans / sur véhicule à moteur,2017-10-22,jour,11.0,292849.886,5035730.307,-73.652808,45.461399
Vol de véhicule à moteur,2015-01-10,jour,38.0,297681.812,5042182.075,-73.591115,45.519521
Méfait,2016-04-04,soir,38.0,297681.812,5042182.075,-73.591115,45.519521
Vol dans / sur véhicule à moteur,2017-07-03,jour,38.0,297681.812,5042182.075,-73.591115,45.519521
Vol dans / sur véhicule à moteur,2016-07-17,jour,38.0,297681.812,5042182.075,-73.591115,45.519521
Vol de véhicule à moteur,2017-04-09,jour,38.0,297681.812,5042182.075,-73.591115,45.519521
Méfait,2015-06-03,soir,38.0,297681.812,5042182.075,-73.591115,45.519521
Introduction,2015-11-10,soir,38.0,297681.812,5042182.075,-73.591115,45.519521
Méfait,2016-10-17,soir,23.0,302457.586,5045494.618,-73.529999,45.549361
Vol dans / sur véhicule à moteur,2015-04-04,jour,23.0,301692.983,5045845.224,-73.539794,45.552513
Vol dans / sur véhicule à moteur,2016-10-17,nuit,23.0,301692.983,5045845.224,-73.539794,45.552513
Introduction,2016-01-06,soir,23.0,301692.983,5045845.224,-73.539794,45.552513
Vol dans / sur véhicule à moteur,2016-10-23,jour,23.0,301692.983,5045845.224,-73.539794,45.552513
Vol dans / sur véhicule à moteur,2016-11-14,jour,23.0,301692.983,5045845.224,-73.539794,45.552513
Introduction,2016-01-26,soir,23.0,301692.983,5045845.224,-73.539794,45.552513
Introduction,2017-07-12,jour,23.0,301692.983,5045845.224,-73.539794,45.552513
Méfait,2016-10-09,soir,23.0,301692.983,5045845.224,-73.539794,45.552513
Méfait,2016-10-06,jour,23.0,301692.983,5045845.224,-73.539794,45.552513
Vol dans / sur véhicule à moteur,2017-01-26,soir,23.0,301692.983,5045845.224,-73.539794,45.552513
Méfait,2017-03-11,soir,23.0,301692.983,5045845.224,-73.539794,45.552513
Vol dans / sur véhicule à moteur,2017-04-06,nuit,23.0,301692.983,5045845.224,-73.539794,45.552513
Introduction,2015-10-21,soir,23.0,301692.983,5045845.224,-73.539794,45.552513
Introduction,2015-12-19,soir,23.0,301692.983,5045845.224,-73.539794,45.552513
Méfait,2015-04-21,soir,23.0,301692.983,5045845.224,-73.539794,45.552513
Introduction,2015-07-05,soir,23.0,301692.983,5045845.224,-73.539794,45.552513
Introduction,2015-12-29,soir,23.0,301692.983,5045845.224,-73.539794,45.552513
Introduction,2015-05-22,nuit,23.0,301692.983,5045845.224,-73.539794,45.552513
Introduction,2015-05-11,soir,23.0,301692.983,5045845.224,-73.539794,45.552513
Introduction,2015-05-26,soir,23.0,301692.983,5045845.224,-73.539794,45.552513
Introduction,2015-05-27,nuit,23.0,301692.983,5045845.224,-73.539794,45.552513
Introduction,2017-10-12,soir,45.0,299867.9,5057073.122,-73.563283,45.653534
Méfait,2015-09-10,soir,45.0,299867.9,5057073.122,-73.563283,45.653534
Vol de véhicule à moteur,2017-01-20,jour,10.0,289962.837,5043568.855,-73.689962,45.531878
Introduction,2015-07-02,soir,10.0,289962.837,5043568.855,-73.689962,45.531878
Méfait,2016-01-25,jour,10.0,289962.837,5043568.855,-73.689962,45.531878
Vols qualifiés,2015-02-05,nuit,11.0,296677.485,5037171.844,-73.603888,45.474426
Méfait,2017-09-09,jour,11.0,296677.485,5037171.844,-73.603888,45.474426
Vol de véhicule à moteur,2017-09-28,soir,31.0,295310.5,5044864.569,-73.62152,45.543631
Introduction,2015-12-05,soir,31.0,295310.5,5044864.569,-73.62152,45.543631
Vol de véhicule à moteur,2017-03-20,soir,42.0,296470.179,5049490.104,-73.606749,45.585268
Introduction,2016-08-12,soir,45.0,297235.655,5055035.014,-73.597025,45.635171
Introduction,2016-08-13,nuit,45.0,297235.655,5055035.014,-73.597025,45.635171
Introduction,2016-07-17,soir,9.0,292223.255,5036724.871,-73.660846,45.470338
Introduction,2017-08-07,soir,46.0,297715.177,5051944.936,-73.590829,45.607371
Introduction,2017-06-30,soir,16.0,300081.84,5034303.275,-73.560318,45.448644
Vols qualifiés,2016-12-25,soir,7.0,287692.623,5042558.716,-73.718992,45.522737
Vol dans / sur véhicule à moteur,2015-12-11,soir,42.0,297737.913,5048925.845,-73.590494,45.580204
Vol dans / sur véhicule à moteur,2015-07-08,jour,42.0,297737.913,5048925.845,-73.590494,45.580204
Vol dans / sur véhicule à moteur,2015-06-13,nuit,42.0,297737.913,5048925.845,-73.590494,45.580204
Vol dans / sur véhicule à moteur,2015-12-22,jour,42.0,297649.644,5048788.862,-73.591623,45.578971
Vol dans / sur véhicule à moteur,2017-11-16,soir,38.0,299748.591,5043611.597,-73.564674,45.532402
Introduction,2016-09-11,nuit,38.0,299748.591,5043611.597,-73.564674,45.532402
Méfait,2016-05-30,jour,38.0,299748.591,5043611.597,-73.564674,45.532402
Méfait,2016-08-25,jour,38.0,299748.591,5043611.597,-73.564674,45.532402
Introduction,2016-09-24,nuit,38.0,299748.591,5043611.597,-73.564674,45.532402
Méfait,2016-08-17,nuit,38.0,299748.591,5043611.597,-73.564674,45.532402
Introduction,2016-12-27,jour,38.0,299748.591,5043611.597,-73.564674,45.532402
Vol dans / sur véhicule à moteur,2017-01-20,jour,38.0,299748.591,5043611.597,-73.564674,45.532402
Introduction,2016-06-16,soir,38.0,299748.591,5043611.597,-73.564674,45.532402
Introduction,2016-05-18,jour,38.0,299748.591,5043611.597,-73.564674,45.532402
Méfait,2015-06-01,soir,38.0,299748.591,5043611.597,-73.564674,45.532402
Méfait,2015-05-25,soir,38.0,299748.591,5043611.597,-73.564674,45.532402
Introduction,2016-09-21,jour,38.0,297415.648,5043396.758,-73.59454,45.530448
Introduction,2016-09-26,soir,38.0,297415.648,5043396.758,-73.59454,45.530448
Introduction,2016-07-07,soir,42.0,298286.75,5049798.5,-73.583473,45.588062
Vol dans / sur véhicule à moteur,2016-01-23,soir,42.0,298286.75,5049798.5,-73.583473,45.588062
Vol dans / sur véhicule à moteur,2016-05-30,jour,42.0,298286.75,5049798.5,-73.583473,45.588062
Vol de véhicule à moteur,2015-05-20,jour,42.0,298286.75,5049798.5,-73.583473,45.588062
Vol dans / sur véhicule à moteur,2015-01-13,soir,42.0,298286.75,5049798.5,-73.583473,45.588062
Vol dans / sur véhicule à moteur,2017-04-16,jour,16.0,298875.719,5035820.5,-73.575756,45.462288
Méfait,2016-05-12,soir,16.0,298875.719,5035820.5,-73.575756,45.462288
Vol dans / sur véhicule à moteur,2015-10-20,jour,16.0,298875.719,5035820.5,-73.575756,45.462288
Méfait,2015-12-03,soir,50.0,299198.7342,5039495.114,-73.571667,45.495356
Méfait,2017-02-02,soir,50.0,299198.7342,5039495.114,-73.571667,45.495356
Méfait,2016-01-31,jour,50.0,299198.7342,5039495.114,-73.571667,45.495356
Méfait,2016-11-14,jour,50.0,299198.7342,5039495.114,-73.571667,45.495356
Vol dans / sur véhicule à moteur,2016-09-25,jour,31.0,294880.159,5045487.646,-73.627044,45.549231
Vols qualifiés,2015-02-11,soir,35.0,297497.462,5043817.767,-73.593499,45.534238
Vol dans / sur véhicule à moteur,2015-12-10,jour,45.0,297235.655,5055035.014,-73.597025,45.635171
